id,x,y,width,height,xoffset,yoffset,xadvance,page,chnl
32,125,10,1,1,0,15,5,0,15
38,0,0,13,13,1,3,15,0,15
48,24,27,11,12,1,3,13,0,15
49,120,26,6,12,0,3,6,0,15
50,36,26,11,12,1,3,13,0,15
51,72,26,11,12,1,3,13,0,15
52,52,13,12,12,-1,3,12,0,15
53,96,26,11,12,1,3,13,0,15
54,0,40,11,12,1,3,13,0,15
55,48,39,10,12,0,3,11,0,15
56,12,40,11,12,1,3,13,0,15
57,24,40,11,12,1,3,13,0,15
58,125,0,2,9,1,6,3,0,15
65,36,39,11,12,1,3,13,0,15
66,91,13,11,12,1,3,13,0,15
67,26,13,12,12,1,3,13,0,15
68,103,13,11,12,1,3,13,0,15
69,115,13,11,12,1,3,12,0,15
70,0,27,11,12,1,3,12,0,15
71,12,27,11,12,1,3,13,0,15
72,0,14,12,12,1,3,14,0,15
73,122,0,2,12,1,3,4,0,15
74,39,13,12,12,0,3,12,0,15
75,13,14,12,12,1,3,13,0,15
76,65,13,12,12,1,3,12,0,15
77,80,0,13,12,1,3,15,0,15
78,48,26,11,12,1,3,13,0,15
79,60,26,11,12,1,3,13,0,15
80,59,39,11,11,1,4,13,0,15
81,94,0,13,12,1,3,14,0,15
82,71,39,11,11,1,4,13,0,15
83,84,26,11,12,1,3,13,0,15
84,78,13,12,12,0,3,12,0,15
85,108,26,11,12,1,3,13,0,15
86,34,0,16,12,0,3,16,0,15
87,14,0,19,12,0,3,19,0,15
88,108,0,13,12,0,3,13,0,15
89,51,0,14,12,0,3,13,0,15
90,66,0,13,12,0,3,13,0,15
